2026-04-27 09:46:06.960 INFO  [http-nio-8081-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-27 09:46:06.962 INFO  [http-nio-8081-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-04-27 09:48:35.748 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 09:48:35.748 INFO  [http-nio-8081-exec-8] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 09:48:35.773 INFO  [http-nio-8081-exec-2] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:49:04.204 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 09:49:22.376 INFO  [http-nio-8081-exec-4] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 10:54:52.913 INFO  [http-nio-8081-exec-4] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 10:54:52.913 INFO  [http-nio-8081-exec-4] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 10:54:52.934 INFO  [http-nio-8081-exec-6] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 11:32:10.520 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 11:32:10.525 INFO  [http-nio-8081-exec-8] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 11:32:30.052 INFO  [http-nio-8081-exec-10] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 11:32:51.597 INFO  [http-nio-8081-exec-1] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:06:53.906 INFO  [http-nio-8081-exec-6] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:06:53.906 INFO  [http-nio-8081-exec-6] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:06:53.929 INFO  [http-nio-8081-exec-4] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:06:58.516 INFO  [http-nio-8081-exec-4] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:07:25.607 INFO  [http-nio-8081-exec-7] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:07:25.609 INFO  [http-nio-8081-exec-7] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:07:25.612 INFO  [http-nio-8081-exec-9] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:07:40.960 INFO  [http-nio-8081-exec-5] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:07:40.962 INFO  [http-nio-8081-exec-5] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:07:40.970 INFO  [http-nio-8081-exec-2] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:07:54.710 INFO  [http-nio-8081-exec-2] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:07:54.711 INFO  [http-nio-8081-exec-1] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:07:54.712 INFO  [http-nio-8081-exec-1] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:08:27.184 INFO  [http-nio-8081-exec-2] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:08:27.186 INFO  [http-nio-8081-exec-2] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:08:27.191 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:09:12.482 INFO  [http-nio-8081-exec-10] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:09:12.485 INFO  [http-nio-8081-exec-10] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:09:12.505 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:10:10.344 INFO  [http-nio-8081-exec-5] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:10:10.345 INFO  [http-nio-8081-exec-5] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:10:10.360 INFO  [http-nio-8081-exec-3] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:11:01.839 INFO  [http-nio-8081-exec-5] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:11:01.840 INFO  [http-nio-8081-exec-5] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:11:01.862 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:11:39.789 INFO  [http-nio-8081-exec-5] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
